email,ticket_id,issue_type,satisfaction_rating
user_b5d6fa3d@gmail.com,TKT-000000,Late Delivery,4
user_0520a11c@gmail.com,TKT-000001,Late Delivery,4
user_7a19f3ff@gmail.com,TKT-000002,Damaged Item,2
user_dcb605d0@gmail.com,TKT-000003,Damaged Item,5
user_372f4d64@gmail.com,TKT-000004,Late Delivery,3
user_c4536b58@gmail.com,TKT-000005,Damaged Item,5
user_7b40921c@gmail.com,TKT-000006,Late Delivery,1
user_c66f6a3f@gmail.com,TKT-000007,Late Delivery,5
user_cefe8df2@gmail.com,TKT-000008,Damaged Item,4
user_24d9e83f@gmail.com,TKT-000009,Damaged Item,4
user_0651caa9@gmail.com,TKT-000010,Damaged Item,2
user_2245070e@gmail.com,TKT-000011,Late Delivery,4
user_3cc6f2ad@gmail.com,TKT-000012,Damaged Item,4
user_7f35a871@gmail.com,TKT-000013,Late Delivery,5
user_067c0fb2@gmail.com,TKT-000014,Late Delivery,3
user_e2eece99@gmail.com,TKT-000015,Late Delivery,2
user_639b4096@gmail.com,TKT-000016,Damaged Item,3
user_c72b734b@gmail.com,TKT-000017,Late Delivery,2
user_167ec75e@gmail.com,TKT-000018,Damaged Item,3
user_1050cefa@gmail.com,TKT-000019,Damaged Item,2
user_934f272e@gmail.com,TKT-000020,Damaged Item,2
user_ffe7752e@gmail.com,TKT-000021,Damaged Item,4
user_89221bc2@gmail.com,TKT-000022,Late Delivery,1
user_5f7960de@gmail.com,TKT-000023,Damaged Item,4
user_69176257@gmail.com,TKT-000024,Late Delivery,3
user_a27b4653@gmail.com,TKT-000025,Damaged Item,2
user_f360d43a@gmail.com,TKT-000026,Damaged Item,5
user_21d4ced6@gmail.com,TKT-000027,Late Delivery,3
user_b032eb4f@gmail.com,TKT-000028,Damaged Item,4
user_9e778190@gmail.com,TKT-000029,Late Delivery,5
user_8b25c3b5@gmail.com,TKT-000030,Damaged Item,2
user_155b7286@gmail.com,TKT-000031,Damaged Item,5
user_44b7ea20@gmail.com,TKT-000032,Damaged Item,3
user_fc08ce06@gmail.com,TKT-000033,Late Delivery,2
user_fd1ab9f6@gmail.com,TKT-000034,Damaged Item,5
user_25db0aea@gmail.com,TKT-000035,Damaged Item,2
user_85dfd6cd@gmail.com,TKT-000036,Late Delivery,1
user_2755a0da@gmail.com,TKT-000037,Damaged Item,4
user_f5b790d2@gmail.com,TKT-000038,Damaged Item,4
user_af72ae56@gmail.com,TKT-000039,Late Delivery,1
user_5f28e0db@gmail.com,TKT-000040,Late Delivery,3
user_b4b0c2a7@gmail.com,TKT-000041,Late Delivery,4
user_c66af225@gmail.com,TKT-000042,Damaged Item,3
user_60e75f3f@gmail.com,TKT-000043,Late Delivery,1
user_aa6ea6f8@gmail.com,TKT-000044,Late Delivery,2
user_9816b894@gmail.com,TKT-000045,Late Delivery,3
user_7d3c23d7@gmail.com,TKT-000046,Damaged Item,2
user_cad6e6cc@gmail.com,TKT-000047,Damaged Item,1
user_823585bc@gmail.com,TKT-000048,Late Delivery,2
user_4fb3ae0c@gmail.com,TKT-000049,Late Delivery,5
user_3a0266b0@gmail.com,TKT-000050,Late Delivery,1
user_f68ce78c@gmail.com,TKT-000051,Damaged Item,3
user_dac68a06@gmail.com,TKT-000052,Late Delivery,2
user_a5d6b760@gmail.com,TKT-000053,Late Delivery,2
user_73b9ce1e@gmail.com,TKT-000054,Late Delivery,2
user_f3a11c96@gmail.com,TKT-000055,Damaged Item,2
user_c45d4de6@gmail.com,TKT-000056,Damaged Item,3
user_e543c7d8@gmail.com,TKT-000057,Damaged Item,4
user_1899d90f@gmail.com,TKT-000058,Damaged Item,5
user_5827a5de@gmail.com,TKT-000059,Late Delivery,4
user_e5441766@gmail.com,TKT-000060,Damaged Item,1
user_7fe7c533@gmail.com,TKT-000061,Damaged Item,4
user_04530097@gmail.com,TKT-000062,Damaged Item,1
user_3a1aed3a@gmail.com,TKT-000063,Late Delivery,2
user_3e49e0b7@gmail.com,TKT-000064,Late Delivery,4
user_15dca358@gmail.com,TKT-000065,Late Delivery,4
user_488d52ee@gmail.com,TKT-000066,Damaged Item,5
user_c2c7712d@gmail.com,TKT-000067,Damaged Item,1
user_7a6b512c@gmail.com,TKT-000068,Late Delivery,2
user_15fcdf53@gmail.com,TKT-000069,Damaged Item,5
user_652da2f7@gmail.com,TKT-000070,Late Delivery,4
user_e8a71656@gmail.com,TKT-000071,Damaged Item,5
user_a97a597c@gmail.com,TKT-000072,Late Delivery,1
user_11488638@gmail.com,TKT-000073,Damaged Item,4
user_1391d26d@gmail.com,TKT-000074,Damaged Item,3
user_3f913149@gmail.com,TKT-000075,Late Delivery,1
user_f866d380@gmail.com,TKT-000076,Late Delivery,1
user_b6669bf4@gmail.com,TKT-000077,Damaged Item,1
user_3130166b@gmail.com,TKT-000078,Damaged Item,3
user_13eee0ba@gmail.com,TKT-000079,Damaged Item,5
user_23d4f3fb@gmail.com,TKT-000080,Damaged Item,1
user_1d49289b@gmail.com,TKT-000081,Late Delivery,1
user_9d45542d@gmail.com,TKT-000082,Damaged Item,2
user_105b90bd@gmail.com,TKT-000083,Damaged Item,3
user_88a5947e@gmail.com,TKT-000084,Late Delivery,3
user_6863a13f@gmail.com,TKT-000085,Damaged Item,4
user_136a29b5@gmail.com,TKT-000086,Damaged Item,1
user_cd94dd7a@gmail.com,TKT-000087,Damaged Item,3
user_53983110@gmail.com,TKT-000088,Late Delivery,4
user_e90afe2d@gmail.com,TKT-000089,Damaged Item,5
user_dc960101@gmail.com,TKT-000090,Late Delivery,5
user_6463c20c@gmail.com,TKT-000091,Damaged Item,3
user_6acd5e9c@gmail.com,TKT-000092,Damaged Item,3
user_783477d3@gmail.com,TKT-000093,Late Delivery,3
user_2bcda84b@gmail.com,TKT-000094,Damaged Item,3
user_209e5691@gmail.com,TKT-000095,Late Delivery,2
user_a59dc1bc@gmail.com,TKT-000096,Damaged Item,4
user_37786449@gmail.com,TKT-000097,Damaged Item,3
user_1b3cd31b@gmail.com,TKT-000098,Damaged Item,5
user_2d33bad2@gmail.com,TKT-000099,Late Delivery,3
user_07c7ce95@gmail.com,TKT-000100,Late Delivery,5
user_ac509a71@gmail.com,TKT-000101,Late Delivery,1
user_3abf6ef0@gmail.com,TKT-000102,Late Delivery,3
user_3b5d6001@gmail.com,TKT-000103,Late Delivery,4
user_9220eb0f@gmail.com,TKT-000104,Late Delivery,5
user_2e40ccac@gmail.com,TKT-000105,Late Delivery,5
user_b809df6e@gmail.com,TKT-000106,Late Delivery,5
user_d44eebcd@gmail.com,TKT-000107,Late Delivery,2
user_871d8e3d@gmail.com,TKT-000108,Late Delivery,4
user_89d5d311@gmail.com,TKT-000109,Damaged Item,4
user_13b80328@gmail.com,TKT-000110,Damaged Item,1
user_f6339afa@gmail.com,TKT-000111,Late Delivery,1
user_b606046e@gmail.com,TKT-000112,Late Delivery,2
user_2af5c3d8@gmail.com,TKT-000113,Late Delivery,2
user_3488103a@gmail.com,TKT-000114,Late Delivery,5
user_3c857a6f@gmail.com,TKT-000115,Damaged Item,4
user_56727e99@gmail.com,TKT-000116,Damaged Item,4
user_ee25395b@gmail.com,TKT-000117,Late Delivery,5
user_7a2cb8d1@gmail.com,TKT-000118,Late Delivery,3
user_df7ae6ce@gmail.com,TKT-000119,Damaged Item,3
user_2ef9e79c@gmail.com,TKT-000120,Late Delivery,2
user_f29d39e1@gmail.com,TKT-000121,Late Delivery,3
user_36133288@gmail.com,TKT-000122,Damaged Item,3
user_212c759d@gmail.com,TKT-000123,Damaged Item,1
user_af102071@gmail.com,TKT-000124,Damaged Item,3
user_c0c8ceab@gmail.com,TKT-000125,Late Delivery,1
user_f365500f@gmail.com,TKT-000126,Damaged Item,2
user_3cba8ffc@gmail.com,TKT-000127,Damaged Item,3
user_7b58a515@gmail.com,TKT-000128,Late Delivery,2
user_a0458506@gmail.com,TKT-000129,Late Delivery,2
user_c9f633ba@gmail.com,TKT-000130,Late Delivery,2
user_9749fdb8@gmail.com,TKT-000131,Damaged Item,4
user_e7ceb5e1@gmail.com,TKT-000132,Damaged Item,5
user_4d4c322f@gmail.com,TKT-000133,Damaged Item,2
user_d6c1a200@gmail.com,TKT-000134,Late Delivery,1
user_4105645a@gmail.com,TKT-000135,Damaged Item,1
user_7c5d3a9c@gmail.com,TKT-000136,Late Delivery,4
user_301a5e93@gmail.com,TKT-000137,Damaged Item,3
user_92a902ca@gmail.com,TKT-000138,Damaged Item,4
user_7bc513ad@gmail.com,TKT-000139,Damaged Item,5
user_bd10ec3a@gmail.com,TKT-000140,Late Delivery,4
user_b587e778@gmail.com,TKT-000141,Late Delivery,1
user_212de590@gmail.com,TKT-000142,Late Delivery,1
user_cf372bca@gmail.com,TKT-000143,Late Delivery,1
user_3d87e8b0@gmail.com,TKT-000144,Damaged Item,3
user_dc1ebb34@gmail.com,TKT-000145,Late Delivery,1
user_a37e505c@gmail.com,TKT-000146,Late Delivery,2
user_4b5c728e@gmail.com,TKT-000147,Damaged Item,3
user_832d9b14@gmail.com,TKT-000148,Damaged Item,3
user_9d461b62@gmail.com,TKT-000149,Late Delivery,2
user_e790ac1a@gmail.com,TKT-000150,Damaged Item,5
user_6edb6d37@gmail.com,TKT-000151,Damaged Item,4
user_020aa2d6@gmail.com,TKT-000152,Damaged Item,4
user_0bb8b749@gmail.com,TKT-000153,Damaged Item,1
user_edd2329b@gmail.com,TKT-000154,Late Delivery,2
user_da9a4eb4@gmail.com,TKT-000155,Late Delivery,5
user_57f36f67@gmail.com,TKT-000156,Damaged Item,5
user_b46c7339@gmail.com,TKT-000157,Damaged Item,1
user_5a0c3f79@gmail.com,TKT-000158,Damaged Item,4
user_0f236e51@gmail.com,TKT-000159,Damaged Item,2
user_85a5b904@gmail.com,TKT-000160,Damaged Item,1
user_aa75ba45@gmail.com,TKT-000161,Damaged Item,3
user_ead83602@gmail.com,TKT-000162,Damaged Item,3
user_c565f5f9@gmail.com,TKT-000163,Late Delivery,1
user_44879da5@gmail.com,TKT-000164,Damaged Item,4
user_01d0f027@gmail.com,TKT-000165,Late Delivery,3
user_4788d3f0@gmail.com,TKT-000166,Late Delivery,3
user_7b43a1df@gmail.com,TKT-000167,Late Delivery,5
user_1a670993@gmail.com,TKT-000168,Damaged Item,4
user_1498be8b@gmail.com,TKT-000169,Late Delivery,2
user_e1f82b74@gmail.com,TKT-000170,Damaged Item,5
user_f739d2a8@gmail.com,TKT-000171,Late Delivery,3
user_5738a676@gmail.com,TKT-000172,Damaged Item,2
user_b2e1f3be@gmail.com,TKT-000173,Damaged Item,5
user_00090324@gmail.com,TKT-000174,Late Delivery,5
user_a44b31b9@gmail.com,TKT-000175,Damaged Item,4
user_384e78e7@gmail.com,TKT-000176,Damaged Item,3
user_65432db1@gmail.com,TKT-000177,Damaged Item,4
user_6a84f0b6@gmail.com,TKT-000178,Late Delivery,5
user_1552c880@gmail.com,TKT-000179,Damaged Item,2
user_ed909099@gmail.com,TKT-000180,Damaged Item,4
user_c620c340@gmail.com,TKT-000181,Late Delivery,3
user_18d9ea1c@gmail.com,TKT-000182,Damaged Item,1
user_803c5306@gmail.com,TKT-000183,Damaged Item,1
user_b8e77f87@gmail.com,TKT-000184,Late Delivery,4
user_87caa867@gmail.com,TKT-000185,Damaged Item,5
user_2f71eb04@gmail.com,TKT-000186,Damaged Item,4
user_2a665718@gmail.com,TKT-000187,Damaged Item,1
user_927ba511@gmail.com,TKT-000188,Late Delivery,4
user_1103df28@gmail.com,TKT-000189,Late Delivery,2
user_03506725@gmail.com,TKT-000190,Damaged Item,4
user_0d881373@gmail.com,TKT-000191,Late Delivery,4
user_dc2a7310@gmail.com,TKT-000192,Late Delivery,3
user_f19249a5@gmail.com,TKT-000193,Late Delivery,2
user_048bd839@gmail.com,TKT-000194,Late Delivery,1
user_623a176f@gmail.com,TKT-000195,Damaged Item,1
user_695bd970@gmail.com,TKT-000196,Late Delivery,1
user_0a8b00a6@gmail.com,TKT-000197,Damaged Item,4
user_caf846af@gmail.com,TKT-000198,Late Delivery,5
user_b635bd73@gmail.com,TKT-000199,Damaged Item,5
user_8a2f8c89@gmail.com,TKT-000200,Damaged Item,3
user_b6d40322@gmail.com,TKT-000201,Damaged Item,2
user_a9ffffcb@gmail.com,TKT-000202,Late Delivery,4
user_9149b9d3@gmail.com,TKT-000203,Damaged Item,3
user_28abcf9b@gmail.com,TKT-000204,Damaged Item,3
user_79148ee1@gmail.com,TKT-000205,Damaged Item,2
user_ba2defc7@gmail.com,TKT-000206,Late Delivery,3
user_7c805958@gmail.com,TKT-000207,Late Delivery,1
user_a26ae7c3@gmail.com,TKT-000208,Damaged Item,1
user_2e94556d@gmail.com,TKT-000209,Late Delivery,5
user_ac3b6a3d@gmail.com,TKT-000210,Damaged Item,3
user_ccb89ab5@gmail.com,TKT-000211,Damaged Item,4
user_cb957f96@gmail.com,TKT-000212,Damaged Item,2
user_33328f04@gmail.com,TKT-000213,Late Delivery,4
user_770f0c82@gmail.com,TKT-000214,Late Delivery,3
user_80a66dcc@gmail.com,TKT-000215,Late Delivery,1
user_1a74d9e5@gmail.com,TKT-000216,Late Delivery,1
user_ec70b6cf@gmail.com,TKT-000217,Late Delivery,2
user_e34062e6@gmail.com,TKT-000218,Late Delivery,4
user_44859cf4@gmail.com,TKT-000219,Damaged Item,5
user_69f2b91e@gmail.com,TKT-000220,Damaged Item,5
user_b25d1e7f@gmail.com,TKT-000221,Late Delivery,2
user_82d32883@gmail.com,TKT-000222,Late Delivery,2
user_75991565@gmail.com,TKT-000223,Late Delivery,1
user_8145c44b@gmail.com,TKT-000224,Late Delivery,1
user_13452ca1@gmail.com,TKT-000225,Late Delivery,3
user_d73f08bb@gmail.com,TKT-000226,Damaged Item,4
user_9e7c5116@gmail.com,TKT-000227,Damaged Item,4
user_13d7e67a@gmail.com,TKT-000228,Damaged Item,3
user_7a845158@gmail.com,TKT-000229,Late Delivery,2
user_f1efc19f@gmail.com,TKT-000230,Damaged Item,2
user_464a3d02@gmail.com,TKT-000231,Late Delivery,5
user_387207b5@gmail.com,TKT-000232,Late Delivery,2
user_4e3276b4@gmail.com,TKT-000233,Late Delivery,1
user_5e6a3529@gmail.com,TKT-000234,Late Delivery,1
user_7e7ef209@gmail.com,TKT-000235,Late Delivery,4
user_7d6d1cb8@gmail.com,TKT-000236,Late Delivery,1
user_ea275d79@gmail.com,TKT-000237,Damaged Item,2
user_c3efecdc@gmail.com,TKT-000238,Late Delivery,1
user_f6b78427@gmail.com,TKT-000239,Late Delivery,4
user_77d202c5@gmail.com,TKT-000240,Late Delivery,2
user_38129f4e@gmail.com,TKT-000241,Late Delivery,3
user_b2aa555c@gmail.com,TKT-000242,Late Delivery,3
user_a79fe09c@gmail.com,TKT-000243,Damaged Item,3
user_ae86ea01@gmail.com,TKT-000244,Late Delivery,2
user_4d7e5b2a@gmail.com,TKT-000245,Damaged Item,4
user_a017de10@gmail.com,TKT-000246,Late Delivery,1
user_2605c5e0@gmail.com,TKT-000247,Damaged Item,1
user_d6759616@gmail.com,TKT-000248,Late Delivery,5
user_8a7739b8@gmail.com,TKT-000249,Damaged Item,1
user_79093f1f@gmail.com,TKT-000250,Late Delivery,2
user_c3733cbd@gmail.com,TKT-000251,Damaged Item,5
user_3fa39af6@gmail.com,TKT-000252,Damaged Item,1
user_88496be5@gmail.com,TKT-000253,Late Delivery,1
user_f947ed70@gmail.com,TKT-000254,Late Delivery,2
user_53109fba@gmail.com,TKT-000255,Late Delivery,2
user_8ec41fc3@gmail.com,TKT-000256,Damaged Item,2
user_da3035ee@gmail.com,TKT-000257,Late Delivery,2
user_dbb15eb2@gmail.com,TKT-000258,Late Delivery,4
user_b39fe421@gmail.com,TKT-000259,Late Delivery,2
user_4ea58d1f@gmail.com,TKT-000260,Damaged Item,4
user_45b07f3e@gmail.com,TKT-000261,Late Delivery,4
user_5d227535@gmail.com,TKT-000262,Late Delivery,2
user_611cf245@gmail.com,TKT-000263,Late Delivery,4
user_b849bcde@gmail.com,TKT-000264,Damaged Item,4
user_d7656e8e@gmail.com,TKT-000265,Damaged Item,2
user_00539155@gmail.com,TKT-000266,Late Delivery,4
user_508cae50@gmail.com,TKT-000267,Late Delivery,5
user_f32585d2@gmail.com,TKT-000268,Damaged Item,2
user_889609c6@gmail.com,TKT-000269,Damaged Item,3
user_99411da4@gmail.com,TKT-000270,Late Delivery,4
user_b2b3bf7b@gmail.com,TKT-000271,Late Delivery,5
user_d229c7d5@gmail.com,TKT-000272,Late Delivery,2
user_19689430@gmail.com,TKT-000273,Damaged Item,3
user_f22be527@gmail.com,TKT-000274,Damaged Item,1
user_4faddb71@gmail.com,TKT-000275,Damaged Item,2
user_4833d560@gmail.com,TKT-000276,Damaged Item,5
user_840a0a14@gmail.com,TKT-000277,Late Delivery,4
user_beba456e@gmail.com,TKT-000278,Damaged Item,2
user_bcf93ec8@gmail.com,TKT-000279,Late Delivery,2
user_d292ad21@gmail.com,TKT-000280,Damaged Item,5
user_28ec5bbf@gmail.com,TKT-000281,Damaged Item,5
user_befbeab8@gmail.com,TKT-000282,Damaged Item,1
user_056fc764@gmail.com,TKT-000283,Damaged Item,5
user_458218da@gmail.com,TKT-000284,Damaged Item,1
user_5447e8d5@gmail.com,TKT-000285,Damaged Item,4
user_2e61eefc@gmail.com,TKT-000286,Late Delivery,4
user_4d97dbf4@gmail.com,TKT-000287,Late Delivery,5
user_06e7c0ff@gmail.com,TKT-000288,Late Delivery,3
user_4e512ed6@gmail.com,TKT-000289,Damaged Item,1
user_618b728d@gmail.com,TKT-000290,Damaged Item,2
user_d9643e0f@gmail.com,TKT-000291,Damaged Item,5
user_9385443e@gmail.com,TKT-000292,Late Delivery,4
user_ac6a562c@gmail.com,TKT-000293,Damaged Item,1
user_aa89a987@gmail.com,TKT-000294,Late Delivery,4
user_9dbe78aa@gmail.com,TKT-000295,Late Delivery,5
user_09e359f1@gmail.com,TKT-000296,Late Delivery,3
user_5fb6501e@gmail.com,TKT-000297,Damaged Item,3
user_9ea675ae@gmail.com,TKT-000298,Late Delivery,2
user_e1a70d90@gmail.com,TKT-000299,Damaged Item,1
user_9049f1d2@gmail.com,TKT-000300,Late Delivery,4
user_4841d583@gmail.com,TKT-000301,Damaged Item,2
user_7710b4d8@gmail.com,TKT-000302,Late Delivery,3
user_3f270ebd@gmail.com,TKT-000303,Late Delivery,2
user_478962ee@gmail.com,TKT-000304,Late Delivery,5
user_fcac5c45@gmail.com,TKT-000305,Damaged Item,1
user_db8e17d0@gmail.com,TKT-000306,Damaged Item,5
user_2ce81600@gmail.com,TKT-000307,Damaged Item,1
user_88011e49@gmail.com,TKT-000308,Late Delivery,5
user_9e1727ea@gmail.com,TKT-000309,Late Delivery,4
user_984f5faa@gmail.com,TKT-000310,Late Delivery,5
user_da257c6b@gmail.com,TKT-000311,Late Delivery,2
user_73806299@gmail.com,TKT-000312,Late Delivery,4
user_65f29fd0@gmail.com,TKT-000313,Late Delivery,2
user_2fa6601f@gmail.com,TKT-000314,Late Delivery,2
user_90fe7855@gmail.com,TKT-000315,Late Delivery,1
